Logger, boumedyenDZ:         	Automatically truncated logfile to 1048576, MadelineProto 8.1.0
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
APIWrapper, boumedyenDZ:     	Saved session!
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 42 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 47 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 45 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 53 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 41 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
APIWrapper, boumedyenDZ:     	Saved session!
Session, boumedyenDZ:        	Garbage collected 48 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 43 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 40 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 46 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
APIWrapper, boumedyenDZ:     	Saved session!
Session, boumedyenDZ:        	Garbage collected 48 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 41 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 39 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
PingLoop, boumedyenDZ:       	Ping DC 4.0
AckHandler, boumedyenDZ:     	No reply for message: ping_delay_disconnect with message ID 7502864612602653092 sent 5.000014931 seconds ago
PingLoop, boumedyenDZ:       	Error while pinging DC 4.0
PingLoop, boumedyenDZ:       	Amp\TimeoutException: Request timeout in /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/MTProtoSession/AckHandler.php:124
Stack trace:
#0 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/WrappedFuture.php(59): danog\MadelineProto\Connection::{closure:danog\MadelineProto\MTProtoSession\AckHandler::getPendingCalls():124}()
#1 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/MTProtoSession/CallHandler.php(92): danog\MadelineProto\WrappedFuture->await()
#2 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Loop/Connection/PingLoop.php(64): danog\MadelineProto\Connection->methodCallAsyncRead()
#3 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): danog\MadelineProto\Loop\Connection\PingLoop->{closure:danog\MadelineProto\Loop\Connection\PingLoop::loop():61}()
#4 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#5 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#6 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#7 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
#8 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#9 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#10 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(502): Fiber->resume()
#11 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(558): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#12 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createLoopFiber():538}()
#13 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(96): Fiber->resume()
#14 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::__construct():90}()
#15 /home/boumedyen/projects/telegram_posts_aggregator/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#16 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/AbstractServer.php(176): Amp\Future->await()
#17 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(119): danog\MadelineProto\Ipc\AbstractServer::waitShutdown()
#18 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(154): {closure:/home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php:35}()
#19 {main}
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
ResponseHandler, boumedyenDZ: 	Already got a response to ping_delay_disconnect with message ID 7502864612602653092 acked (by reply), but there is another reply incoming message pong with message ID 7502864612602653092!
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 36 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
